,Category,Make_again,Rating,Summary,Title,URL,Ingredients,Directions,Tags
44,recipe,75%,3.5,"Toss leftover shredded turkey with crunchy cabbage, zesty green chiles, and a piquant lemon-miso vinaigrette for a refreshing palate-cleanser after yesterday’s feast.",Spicy Cabbage and Turkey Salad,https://www.epicurious.com//recipes/food/views/spicy-cabbage-salad-with-turkey-and-peanuts,"1/2 medium head of green or savoy cabbage, cut into 1-inch pieces, 1/2 teaspoon kosher salt, plus more, 4 oil-packed anchovy fillets, coarsely chopped, 1 teaspoon finely grated lemon zest, 3 tablespoons fresh lemon juice, 2 tablespoons unseasoned rice vinegar, 1 tablespoon light soy sauce, 4 teaspoons white miso, 1/4 teaspoon sugar, 1 tablespoon vegetable oil, 4 celery stalks, thinly sliced on a diagonal, plus 1/2 cup celery leaves, 2 scallions, green parts only, thinly sliced on a diagonal, 1 serrano chile, thinly sliced, 1 cup cilantro leaves with tender stems, 1 cup shredded cooked turkey meat, 1/3 cup coarsely chopped salted, roasted skin-on peanuts, 2 teaspoons black sesame seeds","Toss cabbage and 1/2 tsp. salt in a large bowl. Massage vigorously with your hands until cabbage begins to release water and soften, about 2 minutes (this will both season and tenderize the leaves). Drain; set aside. Mix anchovies, lemon zest, lemon juice, vinegar, soy sauce, miso, and sugar in a large bowl; whisk in oil. Add cabbage, celery and celery leaves, scallions, chile, cilantro, and turkey meat to bowl and toss to combine; season with salt. Serve salad topped with peanuts and sesame seeds.","Bon Appétit, Thanksgiving, leftovers, turkey, Peanut, Cabbage, Salad, Anchovy, Celery, Green Onion/Scallion, Cilantro"
58,recipe,67%,3.5,"The iconic chocolate bar of peanut-studded caramel and nougat is all about chewiness. Transforming that small bite into a giant layered treat means keeping the same flavors, but whipping up nougat fluffy enough to eat by the forkful with soft peanut-studded caramel.",Giant Chocolate Candy Bar with Peanuts and Nougat,https://www.epicurious.com//recipes/food/views/giant-chocolate-candy-bar-with-peanuts-and-nougat,"Nonstick vegetable oil spray, 1 1/4 cups sugar, 2/3 cup heavy cream, 2 tablespoons unsalted butter, 1 3/4 cups unsalted, dry-roasted peanuts (see Cooks' Note), 3/4 teaspoon fine sea salt","Line bottom and sides of loaf pan with foil, leaving an overhang on all sides. Lightly coat foil with nonstick spray. Gently stir sugar and 1/4 cup water in a large saucepan. Heat over medium and cook, brushing down sides of pan with a wet pastry brush if needed and swirling pan gently (do not stir), until sugar is amber-brown, 15–20 minutes. Remove from heat. Carefully add cream in a steady stream, stirring with a silicone spatula (it will bubble up violently); if it looks like it may boil over, stop adding cream and stir to break up bubbles. Stir in butter until melted and smooth. Fit saucepan with candy thermometer and heat over medium. Cook, undisturbed, until mixture reaches 245°F (almost firm-ball stage). Immediately add peanuts and salt and carefully stir to combine. Quickly transfer peanut mixture to prepared pan and press into an even layer with a spatula. Let sit at room temperature until set, at least 1 hour and up to overnight.","Halloween, Chocolate, Peanut, Peanut Butter, Dessert, Candy, Butterscotch/Caramel"
60,recipe,100%,4.0,"Larb is hailed as the national dish of Laos. Traditionally the salad starts with extremely finely chopped lean meat or fish and is seasoned with lime juice, chiles, fish sauce, and toasted ground rice. This recipe calls for ground lamb, a fattier protein than what’s usually used, and subs ground peanuts as a nod to the texture of the rice.",Lamb Larb,https://www.epicurious.com//recipes/food/views/lamb-larb,"1 lemongrass stalk, 4 garlic cloves, 1/2 bunch cilantro, stems and leaves separated, stems coarsely chopped, plus sprigs for serving, 1 large shallot, coarsely chopped, 4 red Thai chiles, divided, 1/2 cup salted, roasted peanuts, 3 tablespoons fresh lime juice, 1 tablespoon (or more) fish sauce, 1 1/2 teaspoons demerara sugar or dark brown sugar, 2 tablespoons vegetable oil, 1 pound ground lamb (at least 10% fat), Cooked white rice, Bibb lettuce leaves, sliced cucumber, lime wedges, and mint sprigs (for serving)","Remove tough outer layers from lemongrass, cut 4"" piece from bulb end, thinly slice, save remaining lemongrass for another use. Pulse lemongrass and garlic in a food processor until finely chopped. Add cilantro stems (reserve leaves for another use), shallot, and 1–2 Thai chiles, depending on how hot you like it, and pulse until finely chopped. Transfer to a large bowl; set aside. Pulse peanuts in food processor until coarsely ground and transfer to a small bowl; set aside. Thinly slice remaining chiles; set aside for serving. Whisk lime juice, fish sauce, and demerara sugar in a small bowl; set lime dressing aside. Heat oil in a large skillet, preferably cast iron, over high. Add lamb to skillet and press into a single flat layer with a flexible spatula. Cook, undisturbed, until underside is browned and crisp around the edges, 5–7 minutes. Use spatula to break patty into smaller pieces and turn. Cook pieces on the other side until edges are crisp and meat is cooked through, about 5 minutes. Transfer lamb to a medium bowl with a slotted spoon, then use spoon to break up meat into small pieces. Pour off all but 3 Tbsp. fat from skillet and set skillet over medium heat. Cook lemongrass mixture, stirring often, until fragrant and starting to stick to skillet, about 3 minutes. Add reserved lime dressing and peanuts and return reserved lamb to skillet. Toss until meat is coated. Remove from heat and season with more fish sauce, if desired. Serve larb with rice, lettuce, cucumber, limes, mint sprigs, cilantro sprigs, and reserved chiles for making lettuce cups.","Bon Appétit, Lamb, Ground Lamb, Laos, Thai, Southeast Asian, Asian, Peanut, Rice, Lemongrass, Garlic, Cilantro, Chile Pepper, Lime Juice, Cucumber, Mint, Dinner, Salad, Lettuce, Wheat/Gluten-Free"
74,recipe,80%,3.5,Turn your favorite halloween candy into a giant version to feed a crowd.,Giant Peanut Butter Cup,https://www.epicurious.com//recipes/food/views/giant-chocolate-peanut-butter-cup,"Nonstick vegetable oil spray, 18 ounces milk, semisweet, and/or bittersweet chocolate (preferably 40–60% cacao), chopped, 1 tablespoon plus 1 1/2 teaspoons coconut or other neutral vegetable oil, 1 pound unsalted, dry-roasted peanuts (about 3 1/2 cups; see Cooks' Note), 1 1/2 cups powdered sugar, 3 tablespoons creamy peanut butter, 1 3/4 teaspoons fine sea salt","Spray inside of tart pan ring with nonstick spray. Wrap removable bottom of pan with plastic wrap; gather excess plastic underneath (it should be smooth on top of removable bottom). Set inside ring. Heat chocolate in a heatproof bowl set over a saucepan of barely simmering water (bowl should not touch water), stirring, until melted. Remove from heat and, stirring constantly, add oil. Let cool, stirring occasionally, until chocolate mixture firms slightly, about 10 minutes. Pour a little less than half of chocolate mixture into prepared pan; reserve remaining chocolate mixture at room temperature. Tilt pan until bottom is evenly coated. Chill until firm, about 15 minutes. Meanwhile, purée peanuts, powdered sugar, peanut butter, and salt in a food processor, scraping bowl often, until mixture forms a large mass around the blade that sticks together; do not overprocess or mixture will be too soft and greasy. Transfer peanut mixture to a large sheet of wax paper. Press firmly into a disk 1/4"" smaller than diameter of tart pan, about 9 3/4"", until no cracks remain. Carefully invert disk into tart pan, centering it. Peel off and discard wax paper. Pour reserved chocolate mixture (it should be the consistency of fudge sauce) over center of peanut disk. Tilt pan to spread completely over the top, filling the gap between edges of pan and disk, until smooth. Chill until firm, about 45 minutes. Remove sides of tart pan. Carefully lift tart off bottom of pan, then slide onto a platter while removing plastic wrap. Let sit at room temperature 10 minutes, then cut into wedges.","Dessert, Peanut Butter, Chocolate, Candy, Halloween"
84,recipe,90%,3.0,"You don't need an electric mixer, cake stand, or oven to enjoy this decadent single serving of cake.",Gooey Chocolate Microwave Mug Cake with Caramel Sauce and Peanuts,https://www.epicurious.com//recipes/food/views/gooey-chocolate-microwave-mug-cake-with-caramel-sauce-and-peanuts,"1/4 cup all-purpose flour, 3 tablespoons sugar, 2 tablespoons unsweetened cocoa powder, 1/4 teaspoon baking powder, 1/8 teaspoon kosher salt, 2 tablespoons heavy cream, 2 tablespoons vegetable oil, 2 (heaping) tablespoons 3-Ingredient Microwave Caramel Sauce or storebought caramel sauce, divided, Vanilla ice cream (optional; for serving), 1 teaspoon coarsely chopped roasted, salted peanuts","Mix flour, sugar, cocoa powder, baking powder, and salt in mug. Add cream, oil, and 3 Tbsp. water and mix until smooth. Using a spoon, make a well in the center; spoon half of the caramel sauce into well. Microwave on high 60 seconds. Carefully remove from microwave. Top with ice cream (if desired), peanuts, and remaining caramel sauce. Serve immediately.","Tested & Improved, Quick & Easy, Cake, Microwave, Peanut, Chocolate, Dessert"
88,recipe,78%,2.5,"This salty-sweet “snack cake” is made with a simple honey–peanut butter base, plus all your favorite snacks.",Crispy Peanut Butter Snack Cake,https://www.epicurious.com//recipes/food/views/crispy-peanut-butter-snack-cake,"Nonstick vegetable oil spray, 1 1/2 cups creamy, no-stir peanut butter, 1/2 cup honey, 1 teaspoon vanilla extract, 1/2 cup plus 2 tablespoons warmed virgin coconut oil, divided, 5 cups crispy rice cereal, 2 cups Chex cereal, 1 1/2 cups salted mini pretzels, lightly crushed, 1 cup potato chips, lightly crushed, 1 cup roasted, salted peanuts, 6 ounces dark chocolate","Line Bundt pan with plastic wrap, leaving a few inches of overhang; coat with nonstick spray. Whisk peanut butter, honey, vanilla, and 1/2 cup coconut oil in a large bowl until combined. Using a spatula, gently fold in cereals, pretzels, potato chips, and peanuts. Transfer mixture to prepared pan, spreading evenly and pressing firmly into pan. Chill until cake is set, at least 1 hour. When ready to serve, melt chocolate and remaining 2 Tbsp. coconut oil in a medium heatproof bowl set over a medium pot of barely simmering water, stirring occasionally, or melt in a microwave in short bursts, stirring between bursts, until chocolate is smooth. Using plastic overhang, lift cake from pan, then invert onto a platter. Drizzle cooled cake with melted chocolate, then chill to set before serving, about 10 minutes.","snack week, Cake, Potato, Dessert, No-Cook, Peanut Butter, Peanut, Chocolate, Birthday, Vegetarian, Pescatarian, Dairy Free, Tree Nut Free, Soy Free, Kosher"
94,recipe,91%,3.0,Treat cauliflower steaks like regular steaks by quickly pan-searing and then finishing them in a hot oven. Quinoa pilaf adds sweetness and crunch.,"Cauliflower With Quinoa, Prunes and Peanuts",https://www.epicurious.com//recipes/food/views/cauliflower-with-quinoa-prunes-and-peanuts,"3 tablespoons olive oil, 1/4 red onion, minced, 1 shallot, minced, 1 garlic clove, minced, 1/2 cup quinoa, 2 cups vegetable broth or water, 1 sprig thyme, Salt and pepper, 1 head cauliflower, 1/3 cup finely diced prunes, 2 tablespoons chopped unsalted roasted peanuts, plus 1 tablespoon crushed nuts, 1 tablespoon onion puree (2 tablespoons olive oil, 1 onion, very thinly sliced, 1 tablespoon sherry vinegar, Salt & pepper), 1 tablespoon unsalted butter, 2 tablespoons finely chopped cilantro, plus a handful of whole leaves, 1 tablespoon finely chopped chives","In a medium saucepan, heat the oil over medium-low heat. Add the onions and cook, stirring often, until they are completely soft but have not taken on any color, 15 to 20 minutes. A bit of water helps here. Add the vinegar and cook for 5 more minutes. Season with salt and pepper. Transfer to a blender and process until satiny-smooth. The puree can be cooled, covered, and stored in the refrigerator for up to 2 days.","Cauliflower, Quinoa, Nut, Vegetable, Dinner, Lunch, Cilantro, Kid-Friendly, Healthy, Low Fat, Low Cholesterol, Epi + USHG, Sugar Conscious, Vegetarian, Pescatarian, Wheat/Gluten-Free, Soy Free, No Sugar Added, Kosher, Small Plates"
97,recipe,70%,3.0,"This easy recipe gives you caramel sauce anytime you want it. Use it to drizzle over ice cream, pancakes, or into your morning mug of coffee.",3-Ingredient Microwave Caramel Sauce,https://www.epicurious.com//recipes/food/views/3-ingredient-microwave-caramel-sauce,"1 tablespoon unsalted butter, 2 tablespoons light brown sugar, 1 tablespoon heavy cream, Pinch of salt","Place butter in mug and microwave on high 30 seconds. Add brown sugar, cream, and salt; stir to combine, and microwave on high 30 seconds. Carefully remove, stir, and microwave on high 15 seconds. Stir and serve.","3-Ingredient Recipes, Sauce, Dessert, Microwave, Kidney Friendly, Vegetarian, Pescatarian, Wheat/Gluten-Free, Peanut Free, Tree Nut Free, Soy Free, Kosher"
103,recipe,0%,0.0,,"Chicken Skin With Peanuts, Chiles, and Lime",https://www.epicurious.com//recipes/food/views/chicken-skin-with-peanuts-chiles-and-lime-56390109,"1/4 cup peanut or vegetable oil, 8 thinly sliced garlic cloves, 2 thinly sliced jalapeños, 2 thinly sliced scallions (green parts only), 1/2 cup chopped fresh cilantro, 1/2 cup chopped salted, roasted peanuts, 1 tablespoon fresh lime juice, Crispy Salt-and-Pepper Chicken Skin, Lime wedges","Heat 1/4 cup peanut or vegetable oil in a small saucepan over low and cook 8 thinly sliced garlic cloves, stirring occasionally, until translucent and soft, 8–10 minutes; let cool. Transfer garlic to a medium bowl with a slotted spoon; save oil for another use. Add 2 thinly sliced jalapeños, 2 thinly sliced scallions (green parts only), 1/2 cup chopped fresh cilantro, 1/2 cup chopped salted, roasted peanuts, and 1 tablespoon fresh lime juice and toss to combine. Gently toss in Crispy Salt-and-Pepper Chicken Skin. Serve with lime wedges.","Chicken, Garlic, Appetizer, Kid-Friendly, Peanut, Jalapeño, Cilantro, Bon Appétit, Sugar Conscious, Pescatarian, Dairy Free, Wheat/Gluten-Free, Tree Nut Free, Soy Free, No Sugar Added, Kosher, Small Plates"
107,recipe,40%,1.0,"The original Choco Taco may have a cult following, but we think this homemade version has it beat. Taco Tuesday just got a little bit sweeter.",Ice Cream Tacos With Chocolate and Peanuts,https://www.epicurious.com//recipes/food/views/ice-cream-tacos-with-chocolate-and-peanuts-56389963,"4 waffle bowls, 2 tablespoons maple syrup, 1 1/2 cups vanilla-fudge swirl ice cream (about 3/4 pint), slightly softened, 3 ounces semisweet chocolate, finely chopped (about 2/3 cup), 1 tablespoon refined coconut oil, 2 tablespoons peanuts, finely chopped","Brush insides of waffle bowls with maple syrup. Working one at a time, invert waffle bowl onto a microwave-safe plate and cover with a damp paper towel. Heat in microwave 30 seconds; waffle will soften and flatten. Immediately mold waffle into a hard taco shell shape with your hands. Let rest until set, about 2 minutes. Carefully fill waffles with ice cream (about 6 Tbsp. per taco); smooth surface with the back of a spoon or offset spatula. Transfer to a plate or parchment-lined rimmed baking sheet and freeze until firm, at least 1 hour. Combine chocolate and oil in a small, microwave-safe bowl. Heat in microwave in 30-second intervals until melted and smooth, stirring occasionally. Stir in peanuts. Working one at a time, roll ice cream side of taco into melted chocolate to completely cover ice cream. Return tacos to plate and freeze again until chocolate is set, about 10 minutes.","Chocolate, Dessert, Freeze/Chill, Kid-Friendly, Frozen Dessert, Peanut, Summer, Vegetarian, Pescatarian, Tree Nut Free, Soy Free, Kosher"
108,recipe,0%,0.0,Drumroll please! This homemade Drumstick treat is as good from the first bite of creamy chocolate-covered ice cream as it is to the last nibble of decadent chocolate-coated cone.,Chocolate-Dipped Ice Cream Cones With Peanuts,https://www.epicurious.com//recipes/food/views/chocolate-dipped-ice-cream-cones-with-peanuts-56389964,"9 ounces semisweet chocolate, finely chopped (about 1 1/2 cups), 3 tablespoons refined coconut oil, 6 sugar cones, 1 pint vanilla ice cream, 2 tablespoons peanuts, chopped","Combine chocolate and oil in a small, microwave-safe bowl. Heat in microwave in 30-second intervals until melted and smooth, stirring occasionally. Drizzle 1 Tbsp. chocolate into each cone, tilting and turning cone as you drizzle to evenly coat the inside. Shake cones upside down above bowl to allow excess chocolate to drip back into bowl; set leftover chocolate aside. Stand cones in narrow freezer-safe glasses to hold them upright. Freeze until chocolate is set, about 15 minutes. Working one at a time, remove cone from freezer and fill with ice cream, packing gently. Make a rounded scoop at top of cone, pressing down lightly to make sure it is well attached. Set cone back in glass; repeat with remaining cones. Freeze again until firm, at least 30 minutes. If reserved chocolate has thickened, briefly reheat in microwave to loosen. Working one at a time, quickly dip ice cream end of cone into chocolate, turning to coat and making sure ice cream is fully covered. Carefully rotate cone, allowing excess chocolate to drip back into bowl. Immediately sprinkle with peanuts and freeze again until chocolate is set, about 10 minutes.","Chocolate, Dessert, Freeze/Chill, Kid-Friendly, Frozen Dessert, Peanut, Summer, Kidney Friendly, Vegetarian, Pescatarian, Tree Nut Free, Soy Free, Kosher, Small Plates"
109,recipe,100%,4.0,This is a high-summer throw together of a sauté to make when there are lots of snap beans at the market. Mix colors and types for the full effect.,"Mixed Beans with Peanuts, Ginger, and Lime",https://www.epicurious.com//recipes/food/views/mixed-beans-with-peanuts-ginger-and-lime-56389867,"2 pounds mixed snap beans (such as green, wax, haricots verts, and/or Romano), trimmed, 1/2 teaspoon kosher salt, plus more, 5 tablespoons olive oil, divided, 1/2 large shallot, finely chopped, 1 (1"" piece) ginger, peeled, finely grated, 1 lemongrass stalk, tough outer layers removed, finely grated on a Microplane, 2 garlic cloves, finely grated, 1/2 teaspoon ground coriander, Freshly ground black pepper, 1/3 cup salted, roasted peanuts, 3 kaffir lime leaves, finely chopped, 1 teaspoon finely grated lime zest, 3 tablespoons fresh lime juice, 1/4 teaspoon sugar, 1/3 cup (packed) cilantro leaves with tender stems, plus more for serving","Working in batches by type, cook beans in a large pot of boiling salted water until crisp-tender, 1–4 minutes. Transfer with a slotted spoon to a large bowl of ice water; let cool. Drain and pat dry. Heat 1 tablespoon oil in a small skillet over medium and cook shallot, stirring occasionally, until tender, about 3 minutes. Add ginger, lemongrass, garlic, and coriander and cook, stirring, until very fragrant, about 1 minute. Transfer to a large bowl; season with salt and pepper. Heat 1 tablespoon oil in same skillet over medium-high. Cook peanuts, tossing often, until golden brown and fragrant, about 2 minutes. Transfer to paper towels; let cool, then coarsely chop. Set aside 1 tablespoon peanuts for serving. Whisk kaffir lime leaves, lime zest, lime juice, sugar, 1/2 teaspoon salt, and remaining 3 tablespoons oil into shallot mixture. Add beans, remaining peanuts, and 1/3 cup cilantro and toss to coat; season with salt and pepper. Serve topped with more cilantro and reserved peanuts.","Ginger, Side, Kid-Friendly, Lime, Peanut, Summer, Healthy, Low Cholesterol, Vegan, Sugar Snap Pea, Bon Appétit, Vegetarian, Pescatarian, Dairy Free, Wheat/Gluten-Free, Tree Nut Free, Soy Free, Kosher"
113,recipe,0%,0.0,"""In a Southern family, there's always someone who makes one dish, one thing they're truly great at,"" says Tandy Wilson of City House, in Nashville, Tennessee. ""These recipes tend to be 'talked,' passed down from cook to cook."" That's the case with the chef's favorite sweet potato casserole, a dish inherited from his grandmother. Instead of the standard marshmallow topping, the recipe uses sorghum syrup for a rich, deep sweetness, and chopped roasted peanuts for a pleasing crunchy contrast. ""Now every Thanksgiving,"" Wilson says, ""it's my job to make Nana's sweet potato casserole.""",Sweet Potato Casserole with Sorghum,https://www.epicurious.com//recipes/food/views/sweet-potato-casserole-with-sorghum,"7 pounds sweet potatoes (about 12 potatoes), 1/4 cup sorghum syrup, 1 cup (2 sticks) unsalted butter, cut into small pieces while cold, then slightly softened at room temperature, plus 1 tablespoon for buttering the baking dish, 1 1/2 tablespoons kosher salt","Preheat the oven to 350°F. Put the potatoes on a foil-lined baking sheet and roast until tender throughout, 1 1/2 to 2 hours. When cool enough to handle, peel away the skin and put the pulp in a large mixing bowl. Using a potato masher, blend the sweet potato pulp together with the syrup, butter, and salt until smooth. Lightly butter a large (9-by-12-by-2 1/2 inch) 3-quart baking dish and transfer the sweet potato mixture to a dish.","HarperCollins, Sweet Potato/Yam, Southern, Side, Thanksgiving, Kid-Friendly, Vegetarian, Pescatarian, Tree Nut Free, Soy Free, Kosher"
114,recipe,100%,3.5,,"Udon Noodles with Shrimp, Snow Peas, and Peanuts",https://www.epicurious.com//recipes/food/views/udon-noodles-with-shrimp-snow-peas-and-peanuts-56389801,"1 red chile (such as Fresno), finely chopped, 1 garlic clove, finely chopped, 6 tablespoons unseasoned rice vinegar, 6 tablespoons soy sauce, 3 tablespoons vegetable oil, 2 tablespoons peanut butter, 2 teaspoons sesame oil, 1 tablespoon finely grated peeled ginger, 1 teaspoon kosher salt, plus more to taste, 2 cups snow peas, thinly sliced (about 8 ounces), 1 pound udon noodles, 1 pound shrimp, peeled, deveined, 1/3 cup coarsely chopped roasted salted peanuts, 1/4 cup coarsely chopped fresh cilantro","Whisk chile, garlic, vinegar, soy sauce, vegetable oil, peanut butter, sesame oil, ginger, and 1 tsp. salt in a large bowl. Add snow peas and toss to combine. Cook udon in a large pot of boiling salted water according to package directions. Add shrimp 3 minutes before noodles are done and cook, stirring occasionally, until shrimp are pink and cooked through. Drain noodles and shrimp and add to dressing; stir vigorously to combine. Transfer noodle mixture to a serving bowl or platter. Top with peanuts and cilantro. Serve immediately or at room temperature.","Asian, Kid-Friendly, Quick & Easy, Dinner, Lunch, Peanut, Shrimp, Pea, Spring, Summer, Noodle, Cilantro, Soy Sauce, Pescatarian, Dairy Free, Tree Nut Free, No Sugar Added, Small Plates"
120,recipe,69%,3.0,"Want crispy and delicious wings fast? Avoid the mess of frying oil and go for a quick oven-roast. Inspired by the version served by chef Andy Ricker at his Brooklyn and Portland Pok Pok restaurants, these wings get doused in a sweet and savory glaze and rolled in a spicy, crunchy topping.",Pok Pok-Style Hot Wings with Peanuts and Cilantro,https://www.epicurious.com//recipes/food/views/pok-pok-style-hot-wings-with-peanuts-and-cilantro-56389618,"2 pounds chicken wings, tips removed, drumettes and flats separated, patted dry, 2 teaspoons vegetable oil, 1/2 teaspoon kosher salt","Preheat oven to 500°F. Set a wire rack inside a large rimmed baking sheet. Toss wings, oil, and salt in a large bowl. Arrange wings in a single layer on rack and bake until golden brown, crispy, and cooked through, about 30 minutes.","Chicken, Appetizer, Kid-Friendly, Quick & Easy, Peanut, Hot Pepper, Super Bowl, Asian, Tailgating, Dairy Free, Wheat/Gluten-Free, Tree Nut Free, Soy Free, Small Plates"
124,recipe,100%,4.0,"Get set to impress with this ice cream cake with all of the familiar flavors and textures you'd find in a banana split, like a caramel banana jam, maraschino cherries suspended in vanilla ice cream, and a heavy hand of crushed peanuts sprinkled on top.",Banana Split Ice Cream Cake,https://www.epicurious.com//recipes/food/views/banana-split-ice-cream-cake-56389894,"2 (9-ounce) packages chocolate wafer cookies, 1 cup virgin coconut oil, melted, 1/4 teaspoon kosher salt","Pulse cookies in a food processor until coarsely ground. Transfer to a large bowl and add coconut oil and salt. Mix with your hands until crumbs are coated in oil and mixture resembles wet sand. Press 2 cups cookie crumbs into the bottom of springform pan and freeze until ready to use. Spread out remaining crumbs on a parchment-lined rimmed baking sheet in an even layer (do not press). Freeze crumbs on baking sheet 30 minutes, then crumble into very small pieces with your hands. Freeze until ready to use.","Cake, Chocolate, Dessert, Kid-Friendly, Frozen Dessert, Banana, Summer, Bon Appétit, Tree Nut Free, Soy Free, Small Plates"
125,recipe,100%,4.0,"A palate cleanser packed with sweet, sour, and salty flavors; taste and tweak the seasonings as you go.","Pomelo Salad with Chile, Lime, Peanuts, and Coconut",https://www.epicurious.com//recipes/food/views/pomelo-salad-with-chile-lime-peanuts-and-coconut-56389542,"2 tablespoons palm sugar or light brown sugar, 2 red or green Thai chiles, finely chopped, 2 garlic cloves, finely chopped, 1/4 cup fresh lime juice, 3 tablespoons fish sauce, Kosher salt, 1/2 cup unsweetened shredded coconut, 1/2 cup vegetable oil, 2 shallots, thinly sliced, divided, 1/4 cup peanuts, preferably skin-on, 2 pomelos or 3 ruby red grapefruit, 3/4 cup torn cilantro leaves with tender stems, 2 tablespoons dried shrimp","Whisk palm sugar and 1 tablespoon water in a medium bowl to dissolve sugar. Whisk in chiles, garlic, lime juice, and fish sauce; season with salt. Balance with more sugar, lime juice, or fish sauce if needed. Toast coconut in a dry small saucepan over medium-high heat, stirring occasionally, until golden brown, about 4 minutes. Transfer to a small bowl. Heat oil in same saucepan. Add half of shallots and fry, swirling, until golden brown and crisp, about 3 minutes. Transfer to paper towels with a slotted spoon to drain; season with salt. Cook peanuts in shallot oil until golden brown, about 2 minutes. Transfer to paper towels to drain; season with salt. Remove peel and white pith from pomelos. Tear membrane off and pull segments into large pieces, transferring to a large bowl as you go. Add cilantro, remaining shallots, and half of dressing and toss to coat. Add coconut, peanuts, and dried shrimp; toss again. Divide among plates, drizzle with remaining dressing, and top with fried shallots.","Thai, Salad, Citrus, Side, Grapefruit, Peanut, Spring, Summer, Bon Appétit, Pescatarian, Dairy Free, Wheat/Gluten-Free, Tree Nut Free, Soy Free"
129,recipe,80%,4.0,"The steak can be marinated a day in advance—in fact, it gets better.",Steakhouse Salad with Red Chile Dressing and Peanuts,https://www.epicurious.com//recipes/food/views/steakhouse-salad-with-red-chile-dressing-and-peanuts-56389405,"2 garlic cloves, finely grated, 1/3 cup unseasoned rice vinegar, 3 tablespoons mirin, 2 tablespoons gochujang (Korean hot pepper paste), 2 tablespoons soy sauce, 1/2 cup plus 2 tablespoons olive oil; plus more for grilling, Kosher salt, freshly ground pepper, 1-1 1/2 pound flank steak, 8 ounces sugar snap peas, 1/4 cup raw peanuts, 1 teaspoon gochugaru (Korean red pepper powder), 1 head of butter lettuce, leaves separated, 2 Persian cucumbers, sliced 1/8"" thick, 2 ounces radishes, thinly sliced, 2 scallions, thinly sliced","Whisk garlic, vinegar, mirin, gochujang, and soy sauce in a medium bowl. Whisk in 1/2 cup oil; season with salt and pepper. Lightly score steak; season with salt and pepper. Place in a resealable plastic bag with half of dressing. Seal bag and turn to coat. Chill at least 1 hour. Set aside remaining dressing for serving. Very thinly slice a few sugar snap peas on a diagonal; set aside. Cook remaining peas in a large saucepan of boiling salted water until crisp-tender, about 2 minutes. Drain; transfer to a bowl of ice water and chill until cold, about 4 minutes. Drain, pat dry, and cut in half on a diagonal. Prepare grill for medium-high heat; lightly oil grates. Remove steak from marinade and grill, turning twice, until medium-rare and lightly charred, 8–10 minutes. Transfer to a cutting board and let rest 10 minutes before thinly slicing against the grain. Meanwhile, heat remaining 2 tablespoons oil in a small skillet over medium. Cook peanuts, tossing, until golden brown and shiny, about 3 minutes. Transfer to a small bowl with a slotted spoon and add gochugaru; season with salt. Let cool. Place peanuts in a resealable plastic bag and seal, pressing out air. Pound with a rolling pin to coarsely crush. Arrange lettuce on a platter; season with salt and pepper and drizzle with half of reserved dressing. Top with steak, cooked peas, cucumbers, and radishes. Drizzle with remaining dressing and top with peanuts, scallions, and raw peas.","Dinner, Lunch, Korean, Steak, Cucumber, Hot Pepper, Radish, Healthy, Lettuce, Bon Appétit, Sugar Conscious, Dairy Free, Tree Nut Free, Kosher"
133,recipe,91%,3.5,"Believe it or not, we came up with a new way to chop broccoli",Roasted and Charred Broccoli with Peanuts,https://www.epicurious.com//recipes/food/views/roasted-and-charred-broccoli-with-peanuts-51260420,"1 bunch broccoli (about 1 1/2 pounds), ends trimmed, stems peeled, 3 tablespoons olive oil, Kosher salt, freshly ground pepper, 1 freshly ground pepper, 2 tablespoons unseasoned rice vinegar, 1/4 cup unsalted, roasted peanuts, coarsely chopped, 1/2 teaspoon sugar, 2 tablespoons nutritional yeast, plus more, 4 scallions, thinly sliced, Flaky sea salt (such as Maldon)","Preheat oven to 450°. Slice broccoli stems on a diagonal 1/4"" thick. Transfer to a rimmed baking sheet, toss with oil, and season with kosher salt and pepper. Gather up loose pieces of left-behind florets and finely chop. Roast stems until browned around edges, 15-20 minutes. Add vinegar; toss to coat. Meanwhile, heat a dry medium skillet, preferably cast iron, over medium-high. Add florets. Season with kosher salt and pepper and cook, stirring often, until bright green and lightly charred in spots, about 5 minutes. Reduce heat to low; add peanuts and sugar. Cook, stirring, until nuts are golden brown. Stir in 2 tablespoons nutritional yeast; season again. Serve broccoli stems and florets topped with scallions, sea salt, and more yeast.","Side, Low Carb, Low Fat, Kid-Friendly, Quick & Easy, Low Cal, High Fiber, Lunch, Peanut, Broccoli, Healthy, Low Cholesterol, Vegan, Vegetarian, Pescatarian, Wheat/Gluten-Free, Tree Nut Free, Soy Free, Kosher, Small Plates"
